"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Overall","Overall","3683","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","19 or Less","383","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","20 to 24","747","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","25 to 29","693","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","30 to 34","525","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","35 to 39","358","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","40 to 49","534","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","50 and Older","443","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Female","1894","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Male","1776","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Unknown/Non-Respondent","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Multiple Values Reported","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","All Masked Values","13","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","American Indian/Alaska Native","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Asian","104","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Black or African American","29","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Filipino","20","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Hispanic","3100","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Pacific Islander or Hawaiian Native","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","White","249","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Two or More Races","12","","","Number","0","0",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Unknown/Non-Respondent","","","","Number","1","1",
"Allan Hancock College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Multiple Values Reported","","","","Number","1","1",
