"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Overall","Overall","1725","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","19 or Less","654","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","20 to 24","625","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","25 to 29","179","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","30 to 34","104","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","35 to 39","51","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","40 to 49","57","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","50 and Older","55","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Female","1084","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Male","640","","","Number","0","0",
"Bakersfield College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
