"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Overall","Overall","556","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","19 or Less","202","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","20 to 24","87","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","25 to 29","51","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","30 to 34","39","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","35 to 39","37","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","40 to 49","74","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","50 and Older","66","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Female","318","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Male","225","","","Number","0","0",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
"Ohlone College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Unknown/Non-Respondent","","","","Number","1","1",
