"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Overall","Overall","21895","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","19 or Less","3407","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","20 to 24","2453","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","25 to 29","2847","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","30 to 34","3016","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","35 to 39","2560","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","40 to 49","4443","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Age","50 and Older","3169","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Female","10714","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Male","11180","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Unknown/Non-Respondent","","","","Number","1","1",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","Multiple Values Reported","","","","Number","1","1",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Gender","All Masked Values","1","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","American Indian/Alaska Native","12","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Asian","2125","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Black or African American","68","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Filipino","71","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Hispanic","15824","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Pacific Islander or Hawaiian Native","28","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","White","1733","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Two or More Races","35","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Unknown/Non-Respondent","1987","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","Ethnicity","Multiple Values Reported","12","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","College Promise Grant/BOG Recipient","Received a College Promise Grant/BOG Waiver","2122","","","Number","0","0",
"Santa Ana College","2015","SM 100","Adult Education/English as a Second Language Students","Students who enrolled in the selected year with a goal of building foundational literacy, quantitative, and English-language skills","Chancellor's Office Management Information System","","","College Promise Grant/BOG Recipient","Never Received a College Promise Grant/BOG Waiver","19773","","","Number","0","0",
