"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Overall","Overall","992","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","19 or Less","60","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","20 to 24","210","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","25 to 29","180","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","30 to 34","133","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","35 to 39","96","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","40 to 49","160","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","50 and Older","153","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Female","624","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Male","347","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Unknown/Non-Respondent","","","","Number","1","1",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Multiple Values Reported","","","","Number","1","1",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","All Masked Values","21","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","American Indian/Alaska Native","","","","Number","1","1",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Asian","125","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Black or African American","217","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Filipino","65","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Hispanic","330","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Pacific Islander or Hawaiian Native","","","","Number","1","1",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","White","187","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Two or More Races","48","","","Number","0","0",
"Contra Costa College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Unknown/Non-Respondent","","","","Number","1","1",
