"localeName","academicYear","metricID","title","description","source","categoryID","categoryLabel","disagg","subgroup","value","denom","perc","dataType","missingFlag","ferpaFlag",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Overall","Overall","2102","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","19 or Less","191","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","20 to 24","511","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","25 to 29","413","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","30 to 34","267","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","35 to 39","151","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","40 to 49","272","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Age","50 and Older","297","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Female","1147","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Male","890","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Non-Binary","","","","Number","1","1",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Unknown/Non-Respondent","","","","Number","1","1",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","Multiple Values Reported","","","","Number","1","1",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Gender","All Masked Values","65","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","American Indian/Alaska Native","12","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Asian","374","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Black or African American","274","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Filipino","48","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Hispanic","490","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Pacific Islander or Hawaiian Native","16","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","White","733","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Two or More Races","89","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Unknown/Non-Respondent","","","","Number","1","1",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","Multiple Values Reported","","","","Number","1","1",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Ethnicity","All Masked Values","66","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","College Promise Grant/BOG Recipient","Received a College Promise Grant/BOG Waiver","1405","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","College Promise Grant/BOG Recipient","Never Received a College Promise Grant/BOG Waiver","697","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","College Promise Grant/BOG Eligible","Eligible for a College Promise Grant/BOG Waiver","1405","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","College Promise Grant/BOG Eligible","Not Eligible for a College Promise Grant/BOG Waiver","697","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Pell Grant Recipient","Received Pell Grant","615","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Pell Grant Recipient","Never Received Pell Grant","1487","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Perkins Economically Disadvantaged","Perkins Economically Disadvantaged","1654","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Perkins Economically Disadvantaged","Not Perkins Economically Disadvantaged","448","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Credit ESL","Credit ESL Attempted","171","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Credit ESL","No Credit ESL Attempted","1931","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","First Generation","First Generation Student","53","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","First Generation","Not First Generation Student","95","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","First Generation","Unknown/Unreported","1954","","","Number","0","0",
"Sacramento City College","2015","SM 101","Short-Term Career Students","Students who enrolled in the selected year with a goal of building skills to enter or advance in their careers","Chancellor's Office Management Information System","","","Foster Youth","Foster Youth","","","","Number","1","1",
